Player,Matches,BattingInnings,TotalBallFaced,TotalRuns,NotOuts,BattingAvg,Bestscore,StrikeRate,BowlingInnings,TotalBallBowled,TotalWickets,BestWickets,TotalRunsConceded,BowlingAvg,TotalOverBowled,EconomyRate
SM Curran,32,23,230,337,8,22.466666666666665,55,146.52173913043478,31,230,35,4,1005,28.714285714285715,113.5,8.854625550660794
SM Harwood,3,2,14,9,2,inf,6,64.28571428571429,3,14,3,2,74,24.666666666666668,11.166666666666666,6.626865671641792
SM Katich,11,11,191,241,1,24.1,75,126.1780104712042,0,191,0,0,0,0.0,0.0,0.0
SM Pollock,13,8,116,147,0,18.375,33,126.72413793103448,13,116,13,4,307,23.615384615384617,46.66666666666666,6.578571428571429
SMSM Senanayake,8,4,17,10,3,10.0,7,58.82352941176471,8,17,9,2,211,23.444444444444443,32.5,6.492307692307692
SN Khan,32,32,394,532,7,21.28,67,135.0253807106599,1,394,0,0,6,inf,0.3333333333333333,18.0
SN Thakur,74,23,138,173,9,12.357142857142858,29,125.36231884057972,74,138,88,4,2371,26.943181818181817,275.0,8.621818181818181
SO Hetmyer,43,43,577,831,17,31.96153846153846,75,144.0207972270364,0,577,0,0,0,0.0,0.0,0.0
SP Fleming,10,10,171,196,1,21.77777777777778,45,114.61988304093566,0,171,0,0,0,0.0,0.0,0.0
SP Goswami,21,21,307,293,1,14.65,52,95.43973941368078,0,307,0,0,0,0.0,0.0,0.0
SP Jackson,8,8,57,61,2,10.166666666666666,16,107.01754385964912,0,57,0,0,0,0.0,0.0,0.0
SP Narine,148,82,664,1025,18,16.015625,75,154.36746987951807,147,664,171,5,3907,22.84795321637427,586.0,6.667235494880546
SPD Smith,93,93,1999,2495,15,31.987179487179485,101,124.81240620310156,1,1999,0,0,5,inf,0.3333333333333333,15.0
SR Tendulkar,78,78,2044,2334,7,32.87323943661972,100,114.18786692759296,4,2044,0,0,59,inf,6.166666666666667,9.567567567567568
SR Watson,145,141,2892,3880,15,30.793650793650794,117,134.1632088520055,105,2892,107,4,2742,25.626168224299064,356.1666666666667,7.698642957416939
SS Agarwal,1,0,0,0,0,0.0,0,0.0,1,0,1,1,42,42.0,4.0,10.5
SS Cottrell,6,1,2,0,0,0.0,0,0.0,6,2,6,2,177,29.5,21.83333333333333,8.106870229007635
SS Iyer,100,100,2295,2780,7,29.892473118279568,96,121.13289760348584,1,2295,0,0,7,inf,1.0,7.0
SS Mundhe,1,0,0,0,0,0.0,0,0.0,1,0,1,1,6,6.0,1.1666666666666667,5.142857142857142
SS Prabhudessai,5,5,62,67,0,13.4,34,108.06451612903226,0,62,0,0,0,0.0,0.0,0.0
SS Sarkar,2,0,0,0,0,0.0,0,0.0,2,0,1,1,34,34.0,4.166666666666667,8.16
SS Shaikh,1,1,7,6,1,inf,6,85.71428571428571,0,7,0,0,0,0.0,0.0,0.0
SS Tiwary,73,73,1291,1494,23,29.88,61,115.72424477149497,0,1291,0,0,0,0.0,0.0,0.0
ST Jayasuriya,30,30,573,768,1,26.48275862068965,114,134.03141361256544,21,573,16,4,396,24.75,50.16666666666666,7.893687707641196
STR Binny,86,66,700,880,22,20.0,48,125.71428571428572,63,700,28,3,763,27.25,101.83333333333331,7.4926350245499185
SV Samson,133,133,2663,3526,14,29.630252100840337,119,132.40705970709726,0,2663,0,0,0,0.0,0.0,0.0
SW Billings,27,27,399,503,1,19.346153846153847,56,126.06516290726816,0,399,0,0,0,0.0,0.0,0.0
SW Tait,21,5,26,23,2,7.666666666666667,11,88.46153846153845,21,26,26,4,668,25.692307692307693,89.0,7.50561797752809
Sachin Baby,13,11,123,144,1,14.4,33,117.07317073170732,2,123,3,2,8,2.6666666666666665,1.6666666666666667,4.8
Salman Butt,7,7,172,193,0,27.571428571428573,73,112.2093023255814,0,172,0,0,0,0.0,0.0,0.0
Sandeep Sharma,104,23,66,52,18,10.4,9,78.78787878787878,104,66,123,4,3046,24.764227642276424,399.8333333333333,7.618174239266361
Shahbaz Ahmed,26,19,253,279,4,18.6,45,110.27667984189723,22,253,13,3,478,36.76923076923077,56.833333333333336,8.410557184750733
Shahid Afridi,10,9,46,81,1,10.125,33,176.08695652173913,10,46,9,3,237,26.33333333333333,30.83333333333333,7.686486486486487
